id	count	name	formula
2GP	41	GUANOSINE-2'-MONOPHOSPHATE	C10 H14 N5 O8 P
TBU	41	TERTIARY-BUTYL ALCOHOL	C4 H10 O
IHP	41	INOSITOL HEXAKISPHOSPHATE	C6 H18 O24 P6
FBP	40	BETA-FRUCTOSE-1,6-DIPHOSPHATE	C6 H14 O12 P2
IDS	40	2-O-SULFO-ALPHA-L-IDOPYRANURONIC ACID	C6 H10 O10 S
BDP	40	BETA-D-GLUCOPYRANURONIC ACID	C6 H10 O7
ACA	40	6-AMINOHEXANOIC ACID	C6 H13 N O2
CPS	40	3-[(3-CHOLAMIDOPROPYL)DIMETHYLAMMONIO]-1-PROPANESULFONATE	C32 H58 N2 O7 S
TL	40	THALLIUM (I) ION	TL 1
MTE	40	PHOSPHONIC ACIDMONO-(2-AMINO-5,6-DIMERCAPTO-4-OXO-3,7,8A,9,10,10A-HEXAHYDRO-4H-8-OXA-1,3,9,10-TETRAAZA-ANTHRACEN-7-YLMETHYL)ESTER	C10 H14 N5 O6 P S2
0G6	40	D-PHENYLALANYL-N-[(2S,3S)-6-{[AMINO(IMINIO)METHYL]AMINO}-1-CHLORO-2-HYDROXYHEXAN-3-YL]-L-PROLINAMIDE	C21 H34 CL N6 O3 1
CBR	39	5-BROMO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE	C9 H13 BR N3 O7 P
FCO	39	CARBONMONOXIDE-(DICYANO) IRON	C3 FE N2 O
